Location,Area code,Largest cities covered
,918/539*,"Broken Arrow, Tulsa"
Oregon,503/971*,"Beaverton, Gresham, Hillsboro, Portland, Salem"
,541/458*,"Bend, Eugene, Medford, Springfield"
Pennsylvania,215/267/445*,"Levittown, Philadelphia"
,412/878*,Pittsburgh
,570/272*,"Scranton, Wilkes-Barre"
,610/484*,"Allentown, Bethlehem, Reading"
,717/223*,Lancaster
,724/878*,"Elwood City, Kensington"
,814,Erie
Puerto Rico,787/939*,"Arecibo, Humacao, San Juan, Trujillo Alto"
Rhode Island,401,"Cranston, Pawtucket, Providence, Warwick"
Sint Maarten,721,"Cul de Sac, Philipsburg"
South Carolina,803/839*,Columbia
,843/854*,Charleston
,864,Greenville
South Dakota,605,"Rapid City, Sioux Falls"
St. Kitts & Nevis,869,"Basseterre, Sandy Point Town"
St. Lucia,758,"Castries, Vieux Fort"
St. Vincent & the Grenadines,784,"Kingstown, Port Elizabeth"
Tennessee,423,"Chattanooga, Johnson City"
,615/629*,"Murfreesboro, Nashville"
,731,Jackson
,865,Knoxville
,901,Memphis
,931,Clarksville
Texas,210/726*,San Antonio
,214/469/972*,"Arlington, Carrollton, Dallas, Flower Mound, Garland, Grand Prairie, Irving, Lewisville, McKinney, Mesquite, Plano, Richardson"
,254,"Killeen, Temple, Waco"
,325,"Abilene, San Angelo"
,361,"Corpus Christi, Victoria"
,409,"Beaumont, Galveston, Port Arthur"
,432,"Midland, Odessa"
,512/737*,"Austin, Round Rock"
,713/281/ 832/346*,"Baytown, Houston, Missouri City, Pasadena, Sugar Land, The Woodlands"
,806,"Amarillo, Lubbock"
,817/682*,"Arlington, Fort Worth, North Richland Hills"
,830,"Boerne, Canyon Lake, Gonzales"
,903/430*,"Longview, Tyler"
,915,El Paso
,936,"Diboll, Lufkin, Waller"
,940,"Bowie, Lake Dallas, Wichita Falls"
,956,"Brownsville, Harlingen, Laredo, McAllen"
,979,"Bryan, College Station"
Trinidad & Tobago,868,"Port of Spain, San Fernando"
Turks & Caicos,649,"Cockburn Town, Sandy Point"
US Virgin Islands,340,"Charlotte Amalie, Port Alucroix"
Utah,435,"Brigham City, Logan, Tremonton"
,801/385*,"Layton, Ogden, Orem, Provo, Salt Lake City, Sandy, Taylorsville, West Jordan, West Valley City"
Virginia,276,"Castlewood, Hillsville, Woodlawn"
,434,Lynchburg
,540,Roanoke
,703/571*,"Alexandria, Annandale, Arlington, Burke, Dale City, Reston"
,757,"Chesapeake, Hampton, Newport News, Norfolk, Portsmouth, Suffolk, Virginia Beach"
,804,Richmond
Vermont,802,"Colchester, Burlington"
Washington,206,"Kent, Seattle, Shoreline"
,253,"Federal Way, Lakewood, Tacoma"
,360/564*,"Belingham, Vancouver"
,425,"Bellevue, Everett, Renton"
,509,"Kennewick, Spokane, Yakima"
Wisconsin,262,"Kenosha, Racine"
,414,Milwaukee
,608,"Janesville, La Crosse, Madison"
,715/534*,Eau Claire
,920,"Appleton, Green Bay, Oshkosh, Sheboygan"
West Virginia,304/681*,"Charleston, Huntington"
Wyoming,307,Cheyenne
